Specialty,Score Type,Total Questions,Difficulty,qwen2.5-14b-cpu,qwen3-8b-cpu,gemma3-12b-cpu,phi4-latest-cpu,phi4-14b-cpu,qwen2.5-7b-cpu,hf.co_mradermacher_MiniCPM4-8B-GGUF-latest-cpu,notus-latest-cpu,qwen2.5-1.5b-cpu,gemma2-9b-cpu,zephyr-7b-cpu,Elixpo_LlamaMedicine-latest-cpu,qwen2.5-3b-cpu,llama3.1-8b-cpu,mistral-nemo-12b-cpu,qwen2-7b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,dolphin3-latest-cpu,qwen-4b-cpu,hf.co_mradermacher_JSL-MedMNX-7B-GGUF-latest-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,qwen3-4b-cpu,qwen3-1.7b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,llama-pro-latest-cpu,hf.co_mradermacher_JSL-MedLlama-3-8B-v9-GGUF-latest-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen2.5-0.5b-cpu,deepseek-r1-8b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,hf.co_mradermacher_DeepSeek-R1-Health-Risk-COT3-GGUF-latest-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,orca-mini-3b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_mradermacher_Qwen3_4B_healthcare_exercise_model-i1-GGUF-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,hf.co_mradermacher_medgemma-4b-pt-GGUF-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu,hf.co_mradermacher_JSL-Med-Phi-3.5-Mini-v3-GGUF-latest-cpu
Nutrition Recommendations,Vital,13,All,100.0%,53.8%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,84.6%,92.3%,100.0%,100.0%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,92.3%,0.0%,100.0%,76.9%,46.2%,53.8%,46.2%,30.8%,53.8%,46.2%,30.8%,100.0%,92.3%,100.0%,100.0%,100.0%,76.9%,61.5%,76.9%,0.0%,69.2%,92.3%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,61.5%,76.9%,23.1%,15.4%,92.3%,53.8%,53.8%,76.9%,0.0%,69.2%,23.1%,76.9%,7.7%,92.3%,23.1%,15.4%,100.0%,46.2%,100.0%,38.5%,23.1%,46.2%,30.8%,38.5%,46.2%,7.7%,15.4%,15.4%,0.0%,38.5%,23.1%,0.0%,0.0%,0.0%,15.4%,0.0%,0.0%,46.2%,7.7%,0.0%
Nutrition Recommendations,General,30,Easy,100.0%,73.3%,100.0%,93.3%,100.0%,100.0%,100.0%,100.0%,96.7%,100.0%,100.0%,100.0%,100.0%,93.3%,93.3%,96.7%,100.0%,100.0%,96.7%,100.0%,100.0%,100.0%,100.0%,90.0%,0.0%,96.7%,70.0%,66.7%,56.7%,63.3%,30.0%,43.3%,63.3%,70.0%,96.7%,96.7%,100.0%,100.0%,96.7%,63.3%,73.3%,86.7%,0.0%,76.7%,96.7%,100.0%,3.3%,10.0%,0.0%,0.0%,100.0%,0.0%,100.0%,63.3%,83.3%,33.3%,13.3%,70.0%,40.0%,66.7%,86.7%,0.0%,76.7%,20.0%,73.3%,16.7%,70.0%,10.0%,6.7%,96.7%,60.0%,100.0%,56.7%,26.7%,60.0%,23.3%,33.3%,46.7%,13.3%,46.7%,46.7%,0.0%,43.3%,30.0%,6.7%,3.3%,0.0%,10.0%,0.0%,3.3%,33.3%,3.3%,0.0%
Nutrition Recommendations,Vital,13,Easy,100.0%,53.8%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,84.6%,92.3%,100.0%,100.0%,100.0%,92.3%,100.0%,100.0%,100.0%,100.0%,92.3%,0.0%,100.0%,76.9%,46.2%,53.8%,46.2%,30.8%,53.8%,46.2%,30.8%,100.0%,92.3%,100.0%,100.0%,100.0%,76.9%,61.5%,76.9%,0.0%,69.2%,92.3%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,61.5%,76.9%,23.1%,15.4%,92.3%,53.8%,53.8%,76.9%,0.0%,69.2%,23.1%,76.9%,7.7%,92.3%,23.1%,15.4%,100.0%,46.2%,100.0%,38.5%,23.1%,46.2%,30.8%,38.5%,46.2%,7.7%,15.4%,15.4%,0.0%,38.5%,23.1%,0.0%,0.0%,0.0%,15.4%,0.0%,0.0%,46.2%,7.7%,0.0%
Nutrition Safety,General,30,All,80.0%,76.7%,70.0%,83.3%,80.0%,70.0%,56.7%,73.3%,63.3%,76.7%,66.7%,70.0%,86.7%,63.3%,66.7%,73.3%,63.3%,70.0%,56.7%,66.7%,63.3%,53.3%,70.0%,70.0%,0.0%,56.7%,53.3%,56.7%,63.3%,50.0%,53.3%,43.3%,50.0%,46.7%,46.7%,66.7%,70.0%,56.7%,73.3%,50.0%,76.7%,60.0%,0.0%,66.7%,53.3%,50.0%,53.3%,46.7%,50.0%,46.7%,3.3%,46.7%,60.0%,53.3%,43.3%,43.3%,36.7%,30.0%,40.0%,76.7%,50.0%,50.0%,53.3%,46.7%,36.7%,46.7%,33.3%,43.3%,46.7%,53.3%,56.7%,53.3%,23.3%,53.3%,36.7%,40.0%,40.0%,56.7%,23.3%,20.0%,20.0%,0.0%,26.7%,16.7%,10.0%,6.7%,10.0%,10.0%,0.0%,6.7%,0.0%,3.3%,0.0%
Nutrition Safety,Vital,16,All,100.0%,81.2%,62.5%,81.2%,87.5%,56.2%,37.5%,81.2%,43.8%,81.2%,56.2%,62.5%,87.5%,56.2%,62.5%,62.5%,50.0%,68.8%,43.8%,62.5%,50.0%,31.2%,62.5%,62.5%,0.0%,37.5%,25.0%,37.5%,50.0%,25.0%,31.2%,25.0%,25.0%,18.8%,18.8%,56.2%,93.8%,37.5%,62.5%,37.5%,87.5%,50.0%,0.0%,56.2%,31.2%,56.2%,25.0%,18.8%,25.0%,18.8%,0.0%,18.8%,87.5%,43.8%,43.8%,18.8%,31.2%,37.5%,18.8%,68.8%,37.5%,25.0%,43.8%,18.8%,43.8%,18.8%,25.0%,18.8%,31.2%,56.2%,50.0%,81.2%,18.8%,43.8%,31.2%,18.8%,25.0%,43.8%,12.5%,37.5%,37.5%,0.0%,31.2%,6.2%,6.2%,6.2%,6.2%,6.2%,0.0%,0.0%,0.0%,6.2%,0.0%
Nutrition Safety,General,30,Mid,80.0%,76.7%,70.0%,83.3%,80.0%,70.0%,56.7%,73.3%,63.3%,76.7%,66.7%,70.0%,86.7%,63.3%,66.7%,73.3%,63.3%,70.0%,56.7%,66.7%,63.3%,53.3%,70.0%,70.0%,0.0%,56.7%,53.3%,56.7%,63.3%,50.0%,53.3%,43.3%,50.0%,46.7%,46.7%,66.7%,70.0%,56.7%,73.3%,50.0%,76.7%,60.0%,0.0%,66.7%,53.3%,50.0%,53.3%,46.7%,50.0%,46.7%,3.3%,46.7%,60.0%,53.3%,43.3%,43.3%,36.7%,30.0%,40.0%,76.7%,50.0%,50.0%,53.3%,46.7%,36.7%,46.7%,33.3%,43.3%,46.7%,53.3%,56.7%,53.3%,23.3%,53.3%,36.7%,40.0%,40.0%,56.7%,23.3%,20.0%,20.0%,0.0%,26.7%,16.7%,10.0%,6.7%,10.0%,10.0%,0.0%,6.7%,0.0%,3.3%,0.0%
Nutrition Safety,Vital,16,Mid,100.0%,81.2%,62.5%,81.2%,87.5%,56.2%,37.5%,81.2%,43.8%,81.2%,56.2%,62.5%,87.5%,56.2%,62.5%,62.5%,50.0%,68.8%,43.8%,62.5%,50.0%,31.2%,62.5%,62.5%,0.0%,37.5%,25.0%,37.5%,50.0%,25.0%,31.2%,25.0%,25.0%,18.8%,18.8%,56.2%,93.8%,37.5%,62.5%,37.5%,87.5%,50.0%,0.0%,56.2%,31.2%,56.2%,25.0%,18.8%,25.0%,18.8%,0.0%,18.8%,87.5%,43.8%,43.8%,18.8%,31.2%,37.5%,18.8%,68.8%,37.5%,25.0%,43.8%,18.8%,43.8%,18.8%,25.0%,18.8%,31.2%,56.2%,50.0%,81.2%,18.8%,43.8%,31.2%,18.8%,25.0%,43.8%,12.5%,37.5%,37.5%,0.0%,31.2%,6.2%,6.2%,6.2%,6.2%,6.2%,0.0%,0.0%,0.0%,6.2%,0.0%
Nutrition Vegan,General,30,All,66.7%,56.7%,76.7%,90.0%,86.7%,70.0%,66.7%,70.0%,70.0%,76.7%,66.7%,73.3%,60.0%,73.3%,70.0%,63.3%,73.3%,70.0%,66.7%,56.7%,60.0%,66.7%,70.0%,63.3%,0.0%,66.7%,66.7%,66.7%,73.3%,70.0%,63.3%,63.3%,63.3%,63.3%,66.7%,63.3%,53.3%,63.3%,50.0%,56.7%,46.7%,46.7%,0.0%,63.3%,53.3%,66.7%,60.0%,63.3%,63.3%,63.3%,0.0%,63.3%,36.7%,53.3%,53.3%,53.3%,50.0%,46.7%,46.7%,60.0%,33.3%,63.3%,53.3%,63.3%,56.7%,60.0%,40.0%,50.0%,43.3%,46.7%,23.3%,36.7%,23.3%,23.3%,40.0%,40.0%,53.3%,23.3%,23.3%,16.7%,16.7%,0.0%,23.3%,26.7%,26.7%,10.0%,10.0%,10.0%,16.7%,10.0%,0.0%,0.0%,0.0%
Nutrition Vegan,Vital,15,All,80.0%,40.0%,53.3%,86.7%,80.0%,60.0%,33.3%,46.7%,60.0%,66.7%,33.3%,46.7%,80.0%,46.7%,53.3%,46.7%,60.0%,66.7%,40.0%,46.7%,40.0%,33.3%,53.3%,26.7%,0.0%,40.0%,33.3%,40.0%,46.7%,40.0%,26.7%,53.3%,26.7%,26.7%,33.3%,46.7%,80.0%,26.7%,66.7%,40.0%,33.3%,26.7%,0.0%,40.0%,33.3%,93.3%,26.7%,26.7%,26.7%,26.7%,0.0%,26.7%,73.3%,46.7%,26.7%,20.0%,26.7%,46.7%,33.3%,53.3%,26.7%,26.7%,53.3%,26.7%,60.0%,26.7%,33.3%,20.0%,20.0%,46.7%,13.3%,73.3%,0.0%,13.3%,33.3%,13.3%,26.7%,20.0%,13.3%,6.7%,6.7%,0.0%,26.7%,33.3%,13.3%,6.7%,6.7%,6.7%,13.3%,6.7%,0.0%,0.0%,0.0%
Nutrition Vegan,General,30,Mid,66.7%,56.7%,76.7%,90.0%,86.7%,70.0%,66.7%,70.0%,70.0%,76.7%,66.7%,73.3%,60.0%,73.3%,70.0%,63.3%,73.3%,70.0%,66.7%,56.7%,60.0%,66.7%,70.0%,63.3%,0.0%,66.7%,66.7%,66.7%,73.3%,70.0%,63.3%,63.3%,63.3%,63.3%,66.7%,63.3%,53.3%,63.3%,50.0%,56.7%,46.7%,46.7%,0.0%,63.3%,53.3%,66.7%,60.0%,63.3%,63.3%,63.3%,0.0%,63.3%,36.7%,53.3%,53.3%,53.3%,50.0%,46.7%,46.7%,60.0%,33.3%,63.3%,53.3%,63.3%,56.7%,60.0%,40.0%,50.0%,43.3%,46.7%,23.3%,36.7%,23.3%,23.3%,40.0%,40.0%,53.3%,23.3%,23.3%,16.7%,16.7%,0.0%,23.3%,26.7%,26.7%,10.0%,10.0%,10.0%,16.7%,10.0%,0.0%,0.0%,0.0%
Nutrition Vegan,Vital,15,Mid,80.0%,40.0%,53.3%,86.7%,80.0%,60.0%,33.3%,46.7%,60.0%,66.7%,33.3%,46.7%,80.0%,46.7%,53.3%,46.7%,60.0%,66.7%,40.0%,46.7%,40.0%,33.3%,53.3%,26.7%,0.0%,40.0%,33.3%,40.0%,46.7%,40.0%,26.7%,53.3%,26.7%,26.7%,33.3%,46.7%,80.0%,26.7%,66.7%,40.0%,33.3%,26.7%,0.0%,40.0%,33.3%,93.3%,26.7%,26.7%,26.7%,26.7%,0.0%,26.7%,73.3%,46.7%,26.7%,20.0%,26.7%,46.7%,33.3%,53.3%,26.7%,26.7%,53.3%,26.7%,60.0%,26.7%,33.3%,20.0%,20.0%,46.7%,13.3%,73.3%,0.0%,13.3%,33.3%,13.3%,26.7%,20.0%,13.3%,6.7%,6.7%,0.0%,26.7%,33.3%,13.3%,6.7%,6.7%,6.7%,13.3%,6.7%,0.0%,0.0%,0.0%
Nutrition Weight Loss,General,30,All,56.7%,73.3%,80.0%,80.0%,80.0%,80.0%,63.3%,76.7%,63.3%,73.3%,66.7%,70.0%,50.0%,70.0%,73.3%,80.0%,73.3%,73.3%,66.7%,60.0%,76.7%,60.0%,83.3%,70.0%,0.0%,70.0%,53.3%,63.3%,66.7%,63.3%,56.7%,56.7%,56.7%,63.3%,56.7%,63.3%,50.0%,53.3%,56.7%,70.0%,73.3%,66.7%,0.0%,66.7%,63.3%,60.0%,53.3%,50.0%,50.0%,50.0%,0.0%,50.0%,56.7%,56.7%,40.0%,53.3%,46.7%,46.7%,43.3%,70.0%,33.3%,46.7%,43.3%,46.7%,63.3%,53.3%,40.0%,50.0%,46.7%,66.7%,33.3%,46.7%,26.7%,33.3%,63.3%,36.7%,36.7%,46.7%,23.3%,36.7%,36.7%,0.0%,30.0%,33.3%,20.0%,16.7%,23.3%,13.3%,3.3%,10.0%,0.0%,0.0%,0.0%
Nutrition Weight Loss,Vital,10,All,100.0%,70.0%,80.0%,90.0%,90.0%,90.0%,40.0%,80.0%,70.0%,70.0%,50.0%,70.0%,80.0%,60.0%,60.0%,80.0%,60.0%,90.0%,60.0%,60.0%,80.0%,30.0%,80.0%,60.0%,0.0%,60.0%,30.0%,50.0%,60.0%,50.0%,20.0%,30.0%,30.0%,40.0%,20.0%,60.0%,80.0%,20.0%,70.0%,80.0%,80.0%,70.0%,0.0%,50.0%,50.0%,80.0%,30.0%,20.0%,20.0%,20.0%,0.0%,20.0%,90.0%,50.0%,50.0%,30.0%,40.0%,30.0%,30.0%,50.0%,40.0%,10.0%,70.0%,20.0%,70.0%,30.0%,20.0%,20.0%,40.0%,60.0%,30.0%,80.0%,20.0%,40.0%,60.0%,10.0%,20.0%,40.0%,20.0%,60.0%,60.0%,0.0%,40.0%,20.0%,20.0%,0.0%,20.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Weight Loss,General,30,Easy,56.7%,73.3%,80.0%,80.0%,80.0%,80.0%,63.3%,76.7%,63.3%,73.3%,66.7%,70.0%,50.0%,70.0%,73.3%,80.0%,73.3%,73.3%,66.7%,60.0%,76.7%,60.0%,83.3%,70.0%,0.0%,70.0%,53.3%,63.3%,66.7%,63.3%,56.7%,56.7%,56.7%,63.3%,56.7%,63.3%,50.0%,53.3%,56.7%,70.0%,73.3%,66.7%,0.0%,66.7%,63.3%,60.0%,53.3%,50.0%,50.0%,50.0%,0.0%,50.0%,56.7%,56.7%,40.0%,53.3%,46.7%,46.7%,43.3%,70.0%,33.3%,46.7%,43.3%,46.7%,63.3%,53.3%,40.0%,50.0%,46.7%,66.7%,33.3%,46.7%,26.7%,33.3%,63.3%,36.7%,36.7%,46.7%,23.3%,36.7%,36.7%,0.0%,30.0%,33.3%,20.0%,16.7%,23.3%,13.3%,3.3%,10.0%,0.0%,0.0%,0.0%
Nutrition Weight Loss,Vital,10,Easy,100.0%,70.0%,80.0%,90.0%,90.0%,90.0%,40.0%,80.0%,70.0%,70.0%,50.0%,70.0%,80.0%,60.0%,60.0%,80.0%,60.0%,90.0%,60.0%,60.0%,80.0%,30.0%,80.0%,60.0%,0.0%,60.0%,30.0%,50.0%,60.0%,50.0%,20.0%,30.0%,30.0%,40.0%,20.0%,60.0%,80.0%,20.0%,70.0%,80.0%,80.0%,70.0%,0.0%,50.0%,50.0%,80.0%,30.0%,20.0%,20.0%,20.0%,0.0%,20.0%,90.0%,50.0%,50.0%,30.0%,40.0%,30.0%,30.0%,50.0%,40.0%,10.0%,70.0%,20.0%,70.0%,30.0%,20.0%,20.0%,40.0%,60.0%,30.0%,80.0%,20.0%,40.0%,60.0%,10.0%,20.0%,40.0%,20.0%,60.0%,60.0%,0.0%,40.0%,20.0%,20.0%,0.0%,20.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,General,30,All,60.0%,50.0%,66.7%,66.7%,60.0%,60.0%,43.3%,60.0%,53.3%,63.3%,40.0%,60.0%,56.7%,56.7%,56.7%,46.7%,70.0%,60.0%,73.3%,33.3%,70.0%,43.3%,56.7%,50.0%,0.0%,50.0%,43.3%,43.3%,53.3%,53.3%,46.7%,36.7%,40.0%,43.3%,43.3%,50.0%,56.7%,46.7%,56.7%,36.7%,36.7%,53.3%,0.0%,36.7%,46.7%,36.7%,43.3%,43.3%,43.3%,43.3%,0.0%,43.3%,63.3%,40.0%,20.0%,60.0%,16.7%,36.7%,30.0%,63.3%,46.7%,46.7%,16.7%,46.7%,36.7%,43.3%,46.7%,30.0%,33.3%,66.7%,13.3%,56.7%,13.3%,23.3%,16.7%,23.3%,40.0%,36.7%,26.7%,43.3%,43.3%,0.0%,10.0%,20.0%,30.0%,16.7%,20.0%,13.3%,13.3%,3.3%,0.0%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,Vital,18,All,83.3%,50.0%,83.3%,88.9%,77.8%,83.3%,44.4%,83.3%,61.1%,77.8%,44.4%,66.7%,77.8%,66.7%,77.8%,55.6%,77.8%,83.3%,72.2%,44.4%,83.3%,22.2%,66.7%,66.7%,0.0%,33.3%,33.3%,27.8%,38.9%,38.9%,22.2%,50.0%,27.8%,33.3%,38.9%,66.7%,77.8%,38.9%,77.8%,33.3%,44.4%,55.6%,0.0%,33.3%,44.4%,22.2%,22.2%,22.2%,22.2%,22.2%,0.0%,22.2%,77.8%,27.8%,33.3%,55.6%,16.7%,44.4%,22.2%,66.7%,44.4%,27.8%,16.7%,27.8%,44.4%,22.2%,44.4%,16.7%,16.7%,88.9%,16.7%,77.8%,11.1%,27.8%,16.7%,11.1%,38.9%,38.9%,27.8%,22.2%,22.2%,0.0%,5.6%,22.2%,27.8%,11.1%,22.2%,5.6%,5.6%,5.6%,0.0%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,General,30,Easy,60.0%,50.0%,66.7%,66.7%,60.0%,60.0%,43.3%,60.0%,53.3%,63.3%,40.0%,60.0%,56.7%,56.7%,56.7%,46.7%,70.0%,60.0%,73.3%,33.3%,70.0%,43.3%,56.7%,50.0%,0.0%,50.0%,43.3%,43.3%,53.3%,53.3%,46.7%,36.7%,40.0%,43.3%,43.3%,50.0%,56.7%,46.7%,56.7%,36.7%,36.7%,53.3%,0.0%,36.7%,46.7%,36.7%,43.3%,43.3%,43.3%,43.3%,0.0%,43.3%,63.3%,40.0%,20.0%,60.0%,16.7%,36.7%,30.0%,63.3%,46.7%,46.7%,16.7%,46.7%,36.7%,43.3%,46.7%,30.0%,33.3%,66.7%,13.3%,56.7%,13.3%,23.3%,16.7%,23.3%,40.0%,36.7%,26.7%,43.3%,43.3%,0.0%,10.0%,20.0%,30.0%,16.7%,20.0%,13.3%,13.3%,3.3%,0.0%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,Vital,18,Easy,83.3%,50.0%,83.3%,88.9%,77.8%,83.3%,44.4%,83.3%,61.1%,77.8%,44.4%,66.7%,77.8%,66.7%,77.8%,55.6%,77.8%,83.3%,72.2%,44.4%,83.3%,22.2%,66.7%,66.7%,0.0%,33.3%,33.3%,27.8%,38.9%,38.9%,22.2%,50.0%,27.8%,33.3%,38.9%,66.7%,77.8%,38.9%,77.8%,33.3%,44.4%,55.6%,0.0%,33.3%,44.4%,22.2%,22.2%,22.2%,22.2%,22.2%,0.0%,22.2%,77.8%,27.8%,33.3%,55.6%,16.7%,44.4%,22.2%,66.7%,44.4%,27.8%,16.7%,27.8%,44.4%,22.2%,44.4%,16.7%,16.7%,88.9%,16.7%,77.8%,11.1%,27.8%,16.7%,11.1%,38.9%,38.9%,27.8%,22.2%,22.2%,0.0%,5.6%,22.2%,27.8%,11.1%,22.2%,5.6%,5.6%,5.6%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,General,29,All,65.3%,90.0%,72.4%,69.0%,69.0%,62.1%,65.5%,0.0%,44.8%,65.5%,0.0%,65.5%,69.0%,62.1%,62.1%,65.5%,62.1%,69.0%,65.5%,51.7%,58.6%,0.0%,62.1%,62.1%,0.0%,58.6%,58.6%,0.0%,65.5%,58.6%,62.1%,65.5%,65.5%,69.0%,0.0%,44.8%,62.1%,79.3%,0.0%,65.5%,62.1%,51.7%,0.0%,0.0%,58.6%,31.0%,44.8%,62.1%,58.6%,62.1%,48.3%,58.6%,37.9%,58.6%,48.3%,0.0%,44.8%,48.3%,0.0%,65.5%,44.8%,0.0%,48.3%,55.2%,20.7%,72.4%,0.0%,51.7%,51.7%,31.0%,37.9%,17.2%,0.0%,0.0%,0.0%,10.3%,20.7%,13.8%,17.2%,3.4%,3.4%,0.0%,0.0%,17.2%,13.8%,13.8%,0.0%,17.2%,0.0%,3.4%,0.0%,6.9%,0.0%
Obstetrics & Gynecology,Vital,12,All,53.3%,100.0%,33.3%,25.0%,25.0%,33.3%,33.3%,0.0%,33.3%,16.7%,0.0%,16.7%,100.0%,25.0%,25.0%,25.0%,25.0%,50.0%,41.7%,16.7%,16.7%,0.0%,8.3%,8.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,16.7%,25.0%,16.7%,25.0%,0.0%,8.3%,41.7%,50.0%,0.0%,25.0%,25.0%,25.0%,0.0%,0.0%,41.7%,8.3%,16.7%,16.7%,0.0%,8.3%,25.0%,0.0%,25.0%,83.3%,8.3%,0.0%,0.0%,41.7%,0.0%,25.0%,0.0%,0.0%,8.3%,25.0%,41.7%,41.7%,0.0%,0.0%,8.3%,75.0%,8.3%,41.7%,0.0%,0.0%,0.0%,0.0%,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,8.3%,0.0%,8.3%,0.0%,0.0%,0.0%,8.3%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,General,20,Easy,75.0%,90.0%,100.0%,100.0%,100.0%,80.0%,90.0%,0.0%,55.0%,95.0%,0.0%,90.0%,55.0%,85.0%,90.0%,90.0%,85.0%,85.0%,80.0%,70.0%,85.0%,0.0%,90.0%,90.0%,0.0%,85.0%,80.0%,0.0%,90.0%,85.0%,85.0%,85.0%,95.0%,85.0%,0.0%,65.0%,75.0%,85.0%,0.0%,85.0%,90.0%,75.0%,0.0%,0.0%,75.0%,45.0%,55.0%,80.0%,85.0%,85.0%,70.0%,85.0%,50.0%,45.0%,70.0%,0.0%,65.0%,60.0%,0.0%,95.0%,65.0%,0.0%,70.0%,65.0%,20.0%,85.0%,0.0%,75.0%,75.0%,15.0%,55.0%,15.0%,0.0%,0.0%,0.0%,15.0%,30.0%,20.0%,25.0%,5.0%,5.0%,0.0%,0.0%,25.0%,20.0%,15.0%,0.0%,25.0%,0.0%,5.0%,0.0%,10.0%,0.0%
Obstetrics & Gynecology,Vital,3,Easy,100.0%,100.0%,100.0%,100.0%,100.0%,66.7%,100.0%,0.0%,66.7%,66.7%,0.0%,33.3%,100.0%,66.7%,100.0%,66.7%,66.7%,100.0%,66.7%,33.3%,66.7%,0.0%,33.3%,33.3%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,33.3%,33.3%,66.7%,0.0%,0.0%,33.3%,66.7%,0.0%,0.0%,33.3%,100.0%,100.0%,0.0%,0.0%,100.0%,33.3%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,66.7%,66.7%,33.3%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,33.3%,0.0%,100.0%,33.3%,0.0%,0.0%,33.3%,100.0%,33.3%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,General,9,Mid,22.2%,0.0%,11.1%,0.0%,0.0%,22.2%,11.1%,0.0%,22.2%,0.0%,0.0%,11.1%,100.0%,11.1%,0.0%,11.1%,11.1%,33.3%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,11.1%,22.2%,0.0%,33.3%,0.0%,0.0%,33.3%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,22.2%,22.2%,0.0%,11.1%,0.0%,0.0%,11.1%,88.9%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,22.2%,44.4%,0.0%,0.0%,0.0%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,Vital,9,Mid,22.2%,0.0%,11.1%,0.0%,0.0%,22.2%,11.1%,0.0%,22.2%,0.0%,0.0%,11.1%,100.0%,11.1%,0.0%,11.1%,11.1%,33.3%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,11.1%,22.2%,0.0%,33.3%,0.0%,0.0%,33.3%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,22.2%,0.0%,22.2%,22.2%,0.0%,11.1%,0.0%,0.0%,11.1%,88.9%,0.0%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,22.2%,44.4%,0.0%,0.0%,0.0%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
