Specialty,Score Type,Total Questions,Difficulty,phi4-latest-cpu,qwen2.5-14b-cpu,qwen2.5-7b-cpu,qwen3-8b-cpu,llama3.1-8b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,Elixpo_LlamaMedicine-latest-cpu,gemma3-12b-cpu,dolphin3-latest-cpu,qwen3-4b-cpu,phi4-14b-cpu,qwen3-1.7b-cpu,notus-latest-cpu,gemma2-9b-cpu,zephyr-7b-cpu,qwen2.5-1.5b-cpu,mistral-nemo-12b-cpu,llama-pro-latest-cpu,qwen2-7b-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,qwen2.5-3b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,qwen-4b-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,deepseek-r1-8b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,orca-mini-3b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,qwen2.5-0.5b-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu
Nutrition Weight Loss,Vital,10,All,90.0%,100.0%,90.0%,70.0%,60.0%,60.0%,70.0%,80.0%,40.0%,80.0%,90.0%,70.0%,80.0%,70.0%,50.0%,70.0%,60.0%,50.0%,80.0%,90.0%,60.0%,60.0%,80.0%,30.0%,80.0%,80.0%,60.0%,0.0%,60.0%,30.0%,50.0%,60.0%,50.0%,20.0%,30.0%,30.0%,20.0%,80.0%,20.0%,70.0%,80.0%,50.0%,0.0%,50.0%,30.0%,20.0%,20.0%,20.0%,20.0%,0.0%,20.0%,90.0%,30.0%,40.0%,30.0%,30.0%,50.0%,50.0%,10.0%,70.0%,70.0%,30.0%,20.0%,20.0%,40.0%,60.0%,30.0%,80.0%,20.0%,40.0%,60.0%,10.0%,60.0%,60.0%,20.0%,40.0%,0.0%,40.0%,20.0%,20.0%,20.0%,10.0%,0.0%,0.0%,0.0%,0.0%
Nutrition Weight Loss,General,30,Easy,80.0%,56.7%,80.0%,73.3%,70.0%,73.3%,70.0%,80.0%,63.3%,73.3%,80.0%,66.7%,76.7%,73.3%,66.7%,63.3%,73.3%,63.3%,80.0%,73.3%,66.7%,60.0%,76.7%,60.0%,50.0%,83.3%,70.0%,0.0%,70.0%,53.3%,63.3%,66.7%,63.3%,56.7%,56.7%,56.7%,56.7%,50.0%,53.3%,56.7%,70.0%,40.0%,0.0%,66.7%,53.3%,50.0%,50.0%,46.7%,50.0%,0.0%,50.0%,56.7%,53.3%,46.7%,46.7%,43.3%,70.0%,56.7%,46.7%,43.3%,63.3%,53.3%,40.0%,50.0%,46.7%,66.7%,33.3%,46.7%,26.7%,33.3%,63.3%,36.7%,36.7%,36.7%,36.7%,46.7%,0.0%,30.0%,33.3%,20.0%,23.3%,13.3%,3.3%,10.0%,0.0%,0.0%
Nutrition Weight Loss,Vital,10,Easy,90.0%,100.0%,90.0%,70.0%,60.0%,60.0%,70.0%,80.0%,40.0%,80.0%,90.0%,70.0%,80.0%,70.0%,50.0%,70.0%,60.0%,50.0%,80.0%,90.0%,60.0%,60.0%,80.0%,30.0%,80.0%,80.0%,60.0%,0.0%,60.0%,30.0%,50.0%,60.0%,50.0%,20.0%,30.0%,30.0%,20.0%,80.0%,20.0%,70.0%,80.0%,50.0%,0.0%,50.0%,30.0%,20.0%,20.0%,20.0%,20.0%,0.0%,20.0%,90.0%,30.0%,40.0%,30.0%,30.0%,50.0%,50.0%,10.0%,70.0%,70.0%,30.0%,20.0%,20.0%,40.0%,60.0%,30.0%,80.0%,20.0%,40.0%,60.0%,10.0%,60.0%,60.0%,20.0%,40.0%,0.0%,40.0%,20.0%,20.0%,20.0%,10.0%,0.0%,0.0%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,General,30,All,66.7%,60.0%,60.0%,50.0%,56.7%,70.0%,60.0%,66.7%,43.3%,36.7%,60.0%,53.3%,60.0%,63.3%,40.0%,53.3%,56.7%,46.7%,46.7%,60.0%,73.3%,33.3%,70.0%,43.3%,56.7%,56.7%,50.0%,0.0%,50.0%,43.3%,43.3%,53.3%,53.3%,46.7%,36.7%,40.0%,43.3%,56.7%,46.7%,56.7%,36.7%,20.0%,0.0%,36.7%,43.3%,43.3%,43.3%,46.7%,43.3%,0.0%,43.3%,63.3%,60.0%,16.7%,36.7%,30.0%,63.3%,40.0%,46.7%,16.7%,36.7%,43.3%,46.7%,30.0%,33.3%,66.7%,13.3%,56.7%,13.3%,23.3%,16.7%,23.3%,43.3%,43.3%,40.0%,36.7%,0.0%,10.0%,20.0%,30.0%,20.0%,13.3%,13.3%,3.3%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,Vital,18,All,88.9%,83.3%,83.3%,50.0%,66.7%,77.8%,66.7%,83.3%,33.3%,44.4%,77.8%,55.6%,83.3%,77.8%,44.4%,61.1%,77.8%,44.4%,55.6%,83.3%,72.2%,44.4%,83.3%,22.2%,77.8%,66.7%,66.7%,0.0%,33.3%,33.3%,27.8%,38.9%,38.9%,22.2%,50.0%,27.8%,38.9%,77.8%,38.9%,77.8%,33.3%,33.3%,0.0%,33.3%,22.2%,22.2%,22.2%,27.8%,22.2%,0.0%,22.2%,77.8%,55.6%,16.7%,44.4%,22.2%,66.7%,27.8%,27.8%,16.7%,44.4%,22.2%,44.4%,16.7%,16.7%,88.9%,16.7%,77.8%,11.1%,27.8%,16.7%,11.1%,22.2%,22.2%,38.9%,38.9%,0.0%,5.6%,22.2%,27.8%,22.2%,5.6%,5.6%,5.6%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,General,30,Easy,66.7%,60.0%,60.0%,50.0%,56.7%,70.0%,60.0%,66.7%,43.3%,36.7%,60.0%,53.3%,60.0%,63.3%,40.0%,53.3%,56.7%,46.7%,46.7%,60.0%,73.3%,33.3%,70.0%,43.3%,56.7%,56.7%,50.0%,0.0%,50.0%,43.3%,43.3%,53.3%,53.3%,46.7%,36.7%,40.0%,43.3%,56.7%,46.7%,56.7%,36.7%,20.0%,0.0%,36.7%,43.3%,43.3%,43.3%,46.7%,43.3%,0.0%,43.3%,63.3%,60.0%,16.7%,36.7%,30.0%,63.3%,40.0%,46.7%,16.7%,36.7%,43.3%,46.7%,30.0%,33.3%,66.7%,13.3%,56.7%,13.3%,23.3%,16.7%,23.3%,43.3%,43.3%,40.0%,36.7%,0.0%,10.0%,20.0%,30.0%,20.0%,13.3%,13.3%,3.3%,0.0%,0.0%
Nutrition intake menu and C with Pregnancy,Vital,18,Easy,88.9%,83.3%,83.3%,50.0%,66.7%,77.8%,66.7%,83.3%,33.3%,44.4%,77.8%,55.6%,83.3%,77.8%,44.4%,61.1%,77.8%,44.4%,55.6%,83.3%,72.2%,44.4%,83.3%,22.2%,77.8%,66.7%,66.7%,0.0%,33.3%,33.3%,27.8%,38.9%,38.9%,22.2%,50.0%,27.8%,38.9%,77.8%,38.9%,77.8%,33.3%,33.3%,0.0%,33.3%,22.2%,22.2%,22.2%,27.8%,22.2%,0.0%,22.2%,77.8%,55.6%,16.7%,44.4%,22.2%,66.7%,27.8%,27.8%,16.7%,44.4%,22.2%,44.4%,16.7%,16.7%,88.9%,16.7%,77.8%,11.1%,27.8%,16.7%,11.1%,22.2%,22.2%,38.9%,38.9%,0.0%,5.6%,22.2%,27.8%,22.2%,5.6%,5.6%,5.6%,0.0%,0.0%
Obstetrics & Gynecology,General,29,All,100.0%,75.0%,80.0%,90.0%,85.0%,85.0%,90.0%,72.4%,85.0%,90.0%,69.0%,75.0%,0.0%,65.5%,0.0%,55.0%,62.1%,75.0%,65.5%,69.0%,65.5%,51.7%,58.6%,0.0%,55.0%,62.1%,62.1%,0.0%,58.6%,58.6%,0.0%,65.5%,58.6%,62.1%,65.5%,65.5%,0.0%,62.1%,79.3%,0.0%,65.5%,70.0%,0.0%,0.0%,44.8%,62.1%,58.6%,65.0%,62.1%,48.3%,58.6%,37.9%,0.0%,44.8%,48.3%,0.0%,65.5%,45.0%,0.0%,48.3%,20.7%,72.4%,0.0%,51.7%,51.7%,31.0%,37.9%,17.2%,0.0%,0.0%,0.0%,10.3%,5.0%,5.0%,20.7%,13.8%,0.0%,0.0%,17.2%,13.8%,0.0%,17.2%,0.0%,0.0%,0.0%,6.9%
Obstetrics & Gynecology,Vital,12,All,100.0%,100.0%,66.7%,100.0%,66.7%,66.7%,33.3%,33.3%,0.0%,100.0%,25.0%,100.0%,0.0%,16.7%,0.0%,66.7%,25.0%,100.0%,25.0%,50.0%,41.7%,16.7%,16.7%,0.0%,100.0%,8.3%,8.3%,0.0%,0.0%,16.7%,0.0%,16.7%,0.0%,16.7%,25.0%,16.7%,0.0%,41.7%,50.0%,0.0%,25.0%,33.3%,0.0%,0.0%,16.7%,16.7%,0.0%,0.0%,8.3%,25.0%,0.0%,25.0%,0.0%,0.0%,41.7%,0.0%,25.0%,66.7%,0.0%,8.3%,41.7%,41.7%,0.0%,0.0%,8.3%,75.0%,8.3%,41.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.3%,0.0%,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,General,20,Easy,100.0%,75.0%,80.0%,90.0%,85.0%,85.0%,90.0%,100.0%,85.0%,90.0%,100.0%,75.0%,0.0%,95.0%,0.0%,55.0%,90.0%,75.0%,90.0%,85.0%,80.0%,70.0%,85.0%,0.0%,55.0%,90.0%,90.0%,0.0%,85.0%,80.0%,0.0%,90.0%,85.0%,85.0%,85.0%,95.0%,0.0%,75.0%,85.0%,0.0%,85.0%,70.0%,0.0%,0.0%,55.0%,80.0%,85.0%,65.0%,85.0%,70.0%,85.0%,50.0%,0.0%,65.0%,60.0%,0.0%,95.0%,45.0%,0.0%,70.0%,20.0%,85.0%,0.0%,75.0%,75.0%,15.0%,55.0%,15.0%,0.0%,0.0%,0.0%,15.0%,5.0%,5.0%,30.0%,20.0%,0.0%,0.0%,25.0%,20.0%,0.0%,25.0%,0.0%,0.0%,0.0%,10.0%
Obstetrics & Gynecology,Vital,3,Easy,100.0%,100.0%,66.7%,100.0%,66.7%,66.7%,33.3%,100.0%,0.0%,100.0%,100.0%,100.0%,0.0%,66.7%,0.0%,66.7%,100.0%,100.0%,66.7%,100.0%,66.7%,33.3%,66.7%,0.0%,100.0%,33.3%,33.3%,0.0%,0.0%,33.3%,0.0%,33.3%,0.0%,33.3%,33.3%,66.7%,0.0%,66.7%,0.0%,0.0%,33.3%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,66.7%,0.0%,0.0%,100.0%,0.0%,100.0%,66.7%,0.0%,33.3%,100.0%,33.3%,0.0%,0.0%,33.3%,100.0%,33.3%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,General,9,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,33.3%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,11.1%,22.2%,0.0%,0.0%,33.3%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,44.4%,0.0%,0.0%,0.0%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Obstetrics & Gynecology,Vital,9,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,33.3%,33.3%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,11.1%,0.0%,11.1%,22.2%,0.0%,0.0%,33.3%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,22.2%,22.2%,0.0%,0.0%,11.1%,0.0%,0.0%,11.1%,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,22.2%,44.4%,0.0%,0.0%,0.0%,66.7%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Oncology,General,28,All,95.0%,90.0%,95.0%,90.0%,95.0%,85.0%,95.0%,78.6%,95.0%,95.0%,67.9%,90.0%,0.0%,67.9%,0.0%,80.0%,64.3%,80.0%,67.9%,64.3%,67.9%,57.1%,67.9%,0.0%,75.0%,64.3%,60.7%,0.0%,64.3%,67.9%,0.0%,57.1%,57.1%,67.9%,57.1%,60.7%,0.0%,57.1%,64.3%,0.0%,71.4%,90.0%,0.0%,0.0%,64.3%,60.7%,53.6%,45.0%,53.6%,57.1%,53.6%,39.3%,0.0%,53.6%,42.9%,0.0%,0.0%,25.0%,0.0%,53.6%,42.9%,28.6%,0.0%,39.3%,42.9%,21.4%,35.7%,17.9%,0.0%,0.0%,0.0%,35.7%,35.0%,35.0%,25.0%,3.6%,0.0%,0.0%,42.9%,10.7%,0.0%,3.6%,0.0%,0.0%,0.0%,3.6%
Oncology,Vital,13,All,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,61.5%,100.0%,100.0%,38.5%,100.0%,0.0%,38.5%,0.0%,80.0%,30.8%,80.0%,38.5%,38.5%,38.5%,38.5%,38.5%,0.0%,100.0%,30.8%,23.1%,0.0%,30.8%,38.5%,0.0%,15.4%,15.4%,30.8%,15.4%,23.1%,0.0%,38.5%,30.8%,0.0%,38.5%,100.0%,0.0%,0.0%,53.8%,15.4%,0.0%,0.0%,0.0%,30.8%,0.0%,30.8%,0.0%,7.7%,53.8%,0.0%,0.0%,80.0%,0.0%,30.8%,76.9%,7.7%,0.0%,7.7%,7.7%,38.5%,23.1%,38.5%,0.0%,0.0%,0.0%,7.7%,60.0%,60.0%,15.4%,0.0%,0.0%,0.0%,23.1%,7.7%,0.0%,7.7%,0.0%,0.0%,0.0%,0.0%
Oncology,General,20,Easy,95.0%,90.0%,95.0%,90.0%,95.0%,85.0%,95.0%,95.0%,95.0%,95.0%,95.0%,90.0%,0.0%,95.0%,0.0%,80.0%,90.0%,80.0%,95.0%,90.0%,95.0%,75.0%,95.0%,0.0%,75.0%,90.0%,85.0%,0.0%,90.0%,90.0%,0.0%,80.0%,80.0%,90.0%,80.0%,85.0%,0.0%,80.0%,90.0%,0.0%,90.0%,90.0%,0.0%,0.0%,75.0%,80.0%,75.0%,45.0%,75.0%,80.0%,75.0%,55.0%,0.0%,75.0%,45.0%,0.0%,0.0%,25.0%,0.0%,75.0%,35.0%,35.0%,0.0%,55.0%,60.0%,30.0%,50.0%,20.0%,0.0%,0.0%,0.0%,45.0%,35.0%,35.0%,30.0%,5.0%,0.0%,0.0%,60.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.0%
Oncology,Vital,5,Easy,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,0.0%,80.0%,80.0%,80.0%,100.0%,100.0%,100.0%,80.0%,100.0%,0.0%,100.0%,80.0%,60.0%,0.0%,80.0%,80.0%,0.0%,40.0%,40.0%,60.0%,40.0%,60.0%,0.0%,100.0%,80.0%,0.0%,60.0%,100.0%,0.0%,0.0%,80.0%,20.0%,0.0%,0.0%,0.0%,80.0%,0.0%,80.0%,0.0%,20.0%,80.0%,0.0%,0.0%,80.0%,0.0%,80.0%,100.0%,0.0%,0.0%,20.0%,20.0%,100.0%,60.0%,80.0%,0.0%,0.0%,0.0%,0.0%,60.0%,60.0%,20.0%,0.0%,0.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Oncology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Oncology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,37.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Ophthalmology,General,28,All,90.0%,95.0%,90.0%,95.0%,85.0%,85.0%,85.0%,71.4%,85.0%,95.0%,67.9%,85.0%,0.0%,67.9%,0.0%,75.0%,67.9%,80.0%,67.9%,67.9%,60.7%,60.7%,67.9%,0.0%,70.0%,60.7%,67.9%,0.0%,57.1%,75.0%,0.0%,60.7%,67.9%,78.6%,53.6%,64.3%,0.0%,57.1%,57.1%,0.0%,64.3%,85.0%,0.0%,0.0%,71.4%,64.3%,53.6%,65.0%,53.6%,64.3%,53.6%,67.9%,0.0%,53.6%,46.4%,0.0%,0.0%,25.0%,0.0%,46.4%,25.0%,46.4%,0.0%,39.3%,28.6%,32.1%,42.9%,25.0%,0.0%,0.0%,0.0%,35.7%,15.0%,15.0%,35.7%,39.3%,0.0%,0.0%,17.9%,10.7%,0.0%,14.3%,0.0%,0.0%,0.0%,3.6%
Ophthalmology,Vital,13,All,80.0%,80.0%,60.0%,80.0%,40.0%,60.0%,40.0%,38.5%,40.0%,80.0%,30.8%,80.0%,0.0%,30.8%,0.0%,80.0%,30.8%,60.0%,30.8%,38.5%,15.4%,38.5%,30.8%,0.0%,80.0%,15.4%,30.8%,0.0%,7.7%,46.2%,0.0%,15.4%,30.8%,53.8%,7.7%,23.1%,0.0%,30.8%,7.7%,0.0%,46.2%,60.0%,0.0%,0.0%,46.2%,23.1%,0.0%,0.0%,0.0%,23.1%,0.0%,61.5%,0.0%,7.7%,46.2%,0.0%,0.0%,60.0%,0.0%,7.7%,30.8%,7.7%,0.0%,0.0%,7.7%,46.2%,15.4%,46.2%,0.0%,0.0%,0.0%,7.7%,20.0%,20.0%,0.0%,23.1%,0.0%,0.0%,0.0%,7.7%,0.0%,15.4%,0.0%,0.0%,0.0%,0.0%
Ophthalmology,General,20,Easy,90.0%,95.0%,90.0%,95.0%,85.0%,85.0%,85.0%,95.0%,85.0%,95.0%,95.0%,85.0%,0.0%,90.0%,0.0%,75.0%,95.0%,80.0%,95.0%,90.0%,85.0%,75.0%,95.0%,0.0%,70.0%,85.0%,90.0%,0.0%,80.0%,90.0%,0.0%,85.0%,95.0%,90.0%,75.0%,90.0%,0.0%,75.0%,80.0%,0.0%,75.0%,85.0%,0.0%,0.0%,85.0%,75.0%,75.0%,65.0%,75.0%,90.0%,75.0%,70.0%,0.0%,75.0%,55.0%,0.0%,0.0%,25.0%,0.0%,65.0%,30.0%,60.0%,0.0%,55.0%,40.0%,40.0%,55.0%,30.0%,0.0%,0.0%,0.0%,50.0%,15.0%,15.0%,50.0%,45.0%,0.0%,0.0%,25.0%,10.0%,0.0%,15.0%,0.0%,0.0%,0.0%,5.0%
Ophthalmology,Vital,5,Easy,80.0%,80.0%,60.0%,80.0%,40.0%,60.0%,40.0%,80.0%,40.0%,80.0%,80.0%,80.0%,0.0%,60.0%,0.0%,80.0%,80.0%,60.0%,80.0%,80.0%,40.0%,60.0%,80.0%,0.0%,80.0%,40.0%,60.0%,0.0%,20.0%,60.0%,0.0%,40.0%,80.0%,60.0%,20.0%,60.0%,0.0%,60.0%,20.0%,0.0%,60.0%,60.0%,0.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,60.0%,0.0%,20.0%,80.0%,0.0%,0.0%,60.0%,0.0%,20.0%,60.0%,0.0%,0.0%,0.0%,20.0%,100.0%,20.0%,100.0%,0.0%,0.0%,0.0%,20.0%,20.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%
Ophthalmology,General,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,12.5%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Ophthalmology,Vital,8,Mid,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,50.0%,0.0%,0.0%,0.0%,12.5%,0.0%,0.0%,37.5%,0.0%,0.0%,0.0%,37.5%,37.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,12.5%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,12.5%,0.0%,12.5%,0.0%,0.0%,0.0%,0.0%
Orthopedics,General,28,All,95.0%,92.5%,100.0%,92.5%,100.0%,95.0%,95.0%,89.3%,85.0%,100.0%,64.3%,85.0%,0.0%,67.9%,0.0%,70.0%,64.3%,75.0%,57.1%,78.6%,67.9%,71.4%,64.3%,0.0%,35.0%,67.9%,67.9%,0.0%,64.3%,71.4%,0.0%,67.9%,64.3%,85.7%,67.9%,71.4%,0.0%,57.1%,67.9%,0.0%,71.4%,95.0%,0.0%,0.0%,57.1%,71.4%,60.7%,50.0%,60.7%,60.7%,60.7%,53.6%,0.0%,50.0%,42.9%,0.0%,0.0%,35.0%,0.0%,53.6%,50.0%,46.4%,0.0%,50.0%,46.4%,10.7%,60.7%,17.9%,0.0%,0.0%,0.0%,35.7%,25.0%,25.0%,21.4%,17.9%,0.0%,0.0%,35.7%,17.9%,0.0%,7.1%,0.0%,0.0%,0.0%,3.6%
Orthopedics,Vital,11,All,100.0%,100.0%,100.0%,83.3%,100.0%,66.7%,66.7%,72.7%,0.0%,100.0%,18.2%,66.7%,0.0%,18.2%,0.0%,100.0%,18.2%,66.7%,9.1%,54.5%,27.3%,45.5%,18.2%,0.0%,66.7%,18.2%,27.3%,0.0%,9.1%,27.3%,0.0%,18.2%,18.2%,63.6%,27.3%,27.3%,0.0%,18.2%,18.2%,0.0%,36.4%,100.0%,0.0%,0.0%,27.3%,27.3%,0.0%,0.0%,0.0%,18.2%,0.0%,36.4%,0.0%,9.1%,45.5%,0.0%,0.0%,66.7%,0.0%,27.3%,72.7%,9.1%,0.0%,0.0%,0.0%,18.2%,9.1%,18.2%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,9.1%,27.3%,0.0%,0.0%,27.3%,9.1%,0.0%,0.0%,0.0%,0.0%,0.0%,9.1%
Orthopedics,General,20,Easy,95.0%,92.5%,100.0%,92.5%,100.0%,95.0%,95.0%,90.0%,85.0%,100.0%,90.0%,85.0%,0.0%,90.0%,0.0%,70.0%,90.0%,75.0%,80.0%,95.0%,95.0%,75.0%,90.0%,0.0%,35.0%,95.0%,85.0%,0.0%,90.0%,95.0%,0.0%,95.0%,85.0%,90.0%,80.0%,90.0%,0.0%,80.0%,95.0%,0.0%,85.0%,95.0%,0.0%,0.0%,70.0%,85.0%,85.0%,50.0%,85.0%,85.0%,85.0%,65.0%,0.0%,70.0%,45.0%,0.0%,0.0%,35.0%,0.0%,75.0%,45.0%,60.0%,0.0%,70.0%,65.0%,15.0%,85.0%,25.0%,0.0%,0.0%,0.0%,50.0%,25.0%,25.0%,25.0%,15.0%,0.0%,0.0%,45.0%,20.0%,0.0%,10.0%,0.0%,0.0%,0.0%,5.0%
